,Obj ID,LS Best Per,LS Max Pow,ACF Best Per,ACF Max Pow,BLS Best Per,BLS Max Pow,Filename
0,TIC 103452621,0.0007031320105757722,0.10550170280604301,6.418664003260581,158.19629928651156,0.05624996482220013,0.5533531571070825,/astro/store/epyc2/projects2/tess/sector026/tess2020160202036-s0026-0000000103452621-0188-s_lc.fits
1,TIC 103566595,2.0895420934121796,0.918702116505676,2.097540572683098,1011.99909005808,2.0888886323809857,0.8160985243743029,/astro/store/epyc2/projects2/tess/sector026/tess2020160202036-s0026-0000000103566595-0188-s_lc.fits
2,TIC 118313102,0.0006943258047100325,0.10018315565374931,9.256529322610772,12193.744103438343,9.254567826140601,0.2743079276325986,/astro/store/epyc2/projects2/tess/sector010/tess2019085135100-s0010-0000000118313102-0140-s_lc.fits
3,TIC 13389059,0.0013888916634362193,0.20804701806356762,7.642885018305972,3452.0526239487276,15.27495222225025,0.4973031089852819,/astro/store/epyc2/projects2/tess/sector024/tess2020106103520-s0024-0000000013389059-0180-s_lc.fits
4,TIC 137501278,0.0006946618693060736,0.2742717868082123,2.1357929642373663,284.82212919931715,4.270759065605034,0.7368714542584535,/astro/store/epyc2/projects2/tess/sector026/tess2020160202036-s0026-0000000137501278-0188-s_lc.fits
5,TIC 138578906,0.6172924224481001,0.3680087011563886,0.6173507576611772,16705.58221359586,0.617355357930137,0.9181862317846602,/astro/store/epyc2/projects2/tess/sector021/tess2020020091053-s0021-0000000138578906-0167-s_lc.fits
6,TIC 138650903,1.2601812307053992,0.15335323518672284,1.2639341717594925,1809.3378281461114,1.2638741444607149,0.9214795338912223,/astro/store/epyc2/projects2/tess/sector021/tess2020020091053-s0021-0000000138650903-0167-s_lc.fits
7,TIC 1400770435,0.000694303072427412,0.008542890195712726,6.871296705827703,48.34219134990309,13.74431728716445,0.10290358838343647,/astro/store/epyc2/projects2/tess/sector026/tess2020160202036-s0026-0000001400770435-0188-s_lc.fits
8,TIC 140659978,0.0013891846441495765,0.07416040671028676,9.442667636179978,999.3368569142567,14.414592375868324,0.1848903231713503,/astro/store/epyc2/projects2/tess/sector008/tess2019032160000-s0008-0000000140659978-0136-s_lc.fits
9,TIC 140659980,0.0006946742780940188,0.24559322135557057,9.440415530150174,467.4329797481314,4.461112758657691,0.42993321814614405,/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000140659980-0146-s_lc.fits
10,TIC 140736015,0.0006942261391457455,0.28134916905588364,7.311989688805962,172.52767947899312,2.0999916458968073,0.263517066763814,/astro/store/epyc2/projects2/tess/sector026/tess2020160202036-s0026-0000000140736015-0188-s_lc.fits
11,TIC 141268467,0.0006937578502438434,0.14939368042828077,2.0906043000621444,34961.169121845036,2.090280568709204,0.792262663276024,/astro/store/epyc2/projects2/tess/sector012/tess2019140104343-s0012-0000000141268467-0144-s_lc.fits
12,TIC 141333573,0.0006942234447421015,0.18698926154104675,2.123813760642738,727.2870163246458,4.2472257543286105,0.7659464419209582,/astro/store/epyc2/projects2/tess/sector012/tess2019140104343-s0012-0000000141333573-0144-s_lc.fits
13,TIC 141622065,0.0006947737554394606,0.45219422233055306,1.4638947182685207,4722.895668888284,1.4638770371248029,0.9349612442468431,/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000141622065-0146-s_lc.fits
14,TIC 141685465,0.0006946884735321958,0.07781557720240169,7.806477393880732,1136.996379114902,7.807570442176484,0.7452146511710811,/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000141685465-0146-s_lc.fits
15,TIC 141809359,0.0006949966963410663,0.027893267415403957,12.157740094044424,205.437861600033,24.315034043391734,0.3845055706738256,/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000141809359-0146-s_lc.fits
16,TIC 141814272,3.94196718018639,0.03128771951861905,11.667211488458744,141.4980996455665,21.47199709463166,0.05490206312679905,/astro/store/epyc2/projects2/tess/sector022/tess2020049080258-s0022-0000000141814272-0174-s_lc.fits
17,TIC 141978095,0.0006947032484419565,0.11490078122517566,12.827708857680044,1388.843443818454,12.829694867087937,0.49872650154301923,/astro/store/epyc2/projects2/tess/sector013/tess2019169103026-s0013-0000000141978095-0146-s_lc.fits
18,TIC 142105299,0.0006946177901085165,0.0379380056659036,11.492569945644469,239.90775195979697,13.754763599171838,0.042608011727769436,/astro/store/epyc2/projects2/tess/sector012/tess2019140104343-s0012-0000000142105299-0144-s_lc.fits
19,TIC 142154041,1.471402727910553,0.137757927699961,2.952194056621381,298.21531529587475,2.948588505556927,0.8164274797836157,/astro/store/epyc2/projects2/tess/sector026/tess2020160202036-s0026-0000000142154041-0188-s_lc.fits
20,TIC 142441910,0.959388421346814,0.08286037116058194,2.8804851724573735,1090.7646146755694,2.8797633058911742,0.8574424950262404,/astro/store/epyc2/projects2/tess/sector021/tess2020020091053-s0021-0000000142441910-0167-s_lc.fits
21,TIC 142783746,0.0013894899416685147,0.06901932070625484,6.149433332621975,1640.195111589543,6.1512097347235795,0.553918364159582,/astro/store/epyc2/projects2/tess/sector026/tess2020160202036-s0026-0000000142783746-0188-s_lc.fits
22,TIC 142979644,2.0874648117177013,0.08132366966633552,4.178475177313269,1509.8765208904135,4.179104601676954,0.7915286791093771,/astro/store/epyc2/projects2/tess/sector021/tess2020020091053-s0021-0000000142979644-0167-s_lc.fits
23,TIC 147576476,1.1069844700810874,0.5046037326054209,1.1096447183950895,5986.534674829905,2.2200608852076584,0.7981521455566846,/astro/store/epyc2/projects2/tess/sector021/tess2020020091053-s0021-0000000147576476-0167-s_lc.fits
